county,state,fips,lat,lon
New York City,New York,,40.71455,-74.00714
Westchester,New York,36119,41.11909,-73.7887
Nassau,New York,36059,42.51642,-73.61127
Suffolk,New York,36103,40.96009,-72.83434
Cook,Illinois,17031,41.81392,-87.61546
King,Washington,53033,47.43248,-121.9594
Unknown,New Jersey,,0.0,0.0
Wayne,Michigan,26163,42.28515,-83.38361
Los Angeles,California,6037,34.05361,-118.2455
Bergen,New Jersey,34003,40.94757,-74.02765
Rockland,New York,36087,41.89899,-74.83049
Orleans,Louisiana,22071,30.03255,-89.9761
Snohomish,Washington,53061,47.91266,-122.09305
Orange,New York,36071,42.30562,-77.04872
Oakland,Michigan,26125,42.74215,-83.16174
Miami-Dade,Florida,12086,25.55824,-80.52303
Essex,New Jersey,34013,40.79184,-74.25456
Fairfield,Connecticut,9001,41.16633,-73.22876
Santa Clara,California,6085,37.35579,-121.95509
Middlesex,Massachusetts,25017,42.44672,-71.28825
Middlesex,New Jersey,34023,40.57938,-74.50067
Broward,Florida,12011,26.15601,-80.48898
Monmouth,New Jersey,34025,40.33138,-73.97939
Jefferson,Louisiana,22051,29.6961,-90.13103
Suffolk,Massachusetts,25025,42.33899,-71.00618
Hudson,New Jersey,34017,40.73273,-74.06836
Union,New Jersey,34039,40.69635,-74.26957
Philadelphia,Pennsylvania,42101,39.95223,-75.16218
Passaic,New Jersey,34031,40.86034,-74.12375
Milwaukee,Wisconsin,55079,43.042,-87.90687
Ocean,New Jersey,34029,40.25386,-74.01229
Clark,Nevada,32003,35.92795,-115.25383
Macomb,Michigan,26099,42.69566,-82.92172
San Diego,California,6073,32.71568,-117.16171
Morris,New Jersey,34027,40.78048,-74.46322
Dallas,Texas,48113,32.77823,-96.79512
Maricopa,Arizona,4013,33.05931,-112.0481
Marion,Indiana,18097,40.55881,-85.66067
Davidson,Tennessee,47037,36.18684,-86.78058
Norfolk,Massachusetts,25021,42.11943,-71.33055
Montgomery,Pennsylvania,42091,41.17016,-76.87508
Unknown,Massachusetts,,0.0,0.0
District of Columbia,District of Columbia,11001,38.89037,-77.03196
Denver,Colorado,8031,39.74001,-104.99202
Cuyahoga,Ohio,39035,41.67619,-81.72996
Orange,California,6059,33.78787,-117.85071
Essex,Massachusetts,25009,42.63252,-70.78114
Fulton,Georgia,13121,33.84418,-84.40405
San Francisco,California,6075,37.77713,-122.41964
Harris,Texas,48201,29.83402,-95.38634
Alameda,California,6001,37.76707,-122.24584
Shelby,Tennessee,47157,35.20193,-89.86568
San Mateo,California,6081,37.54704,-122.31485
Dutchess,New York,36027,41.75992,-73.72712
Pierce,Washington,53053,47.066,-122.03972
Lake,Illinois,17097,42.32396,-87.68565
DuPage,Illinois,17043,41.8397,-88.09092
Mecklenburg,North Carolina,37119,35.25809,-80.83052
Salt Lake,Utah,49035,40.66803,-111.90306
Somerset,New Jersey,34035,40.49859,-74.52249
Unknown,Georgia,,0.0,0.0
St. Louis,Missouri,29189,38.62775,-90.19956
Jefferson,Alabama,1073,33.54448,-86.86078
Palm Beach,Florida,12099,26.70306,-80.03661
Albany,New York,36001,42.65156,-73.75521
Worcester,Massachusetts,25027,42.26341,-71.80219
Dougherty,Georgia,13095,31.54295,-84.22195
Montgomery,Maryland,24031,39.17043,-77.20827
Delaware,Pennsylvania,42045,41.22165,-74.87108
New Haven,Connecticut,9009,41.30801,-72.92432
Hillsborough,Florida,12057,27.87108,-82.3113
Eagle,Colorado,8037,39.65565,-106.82788
Monroe,New York,36055,41.32813,-74.18713
Hartford,Connecticut,9003,41.76376,-72.67394
Plymouth,Massachusetts,25023,41.92808,-70.6568
Travis,Texas,48453,30.32638,-97.77776
DeKalb,Georgia,13089,33.79282,-84.22016
El Paso,Colorado,8041,38.82442,-104.56304
Erie,New York,36029,42.76823,-78.77651
Allegheny,Pennsylvania,42003,40.61592,-79.65914
Contra Costa,California,6013,37.91105,-121.98581
Jefferson,Colorado,8059,39.37738,-105.80047
Hennepin,Minnesota,27053,45.01598,-93.48732
Fairfax,Virginia,51059,38.84186,-77.30905
Arapahoe,Colorado,8005,38.84964,-102.17487
Cobb,Georgia,13067,31.95878,-83.987
Orange,Florida,12095,41.33142,-74.35667
Caddo,Louisiana,22017,32.60761,-93.90108
Dane,Wisconsin,55025,43.25044,-89.49967
Sacramento,California,6067,38.57944,-121.49085
Unknown,Tennessee,,0.0,0.0
Mercer,New Jersey,34021,40.28052,-74.68114
Bucks,Pennsylvania,42017,40.32851,-75.12972
Franklin,Ohio,39049,39.54045,-84.29054
Weld,Colorado,8123,40.50105,-104.54583
Riverside,California,6065,33.98171,-117.37404
Unknown,Nevada,,0.0,0.0
Unknown,Rhode Island,,0.0,0.0
East Baton Rouge,Louisiana,22033,30.51561,-91.08893
Washington,Oregon,41067,45.54882,-123.09853
Summit,Utah,49043,37.80107,-112.93511
Unknown,Colorado,,0.0,0.0
Prince George's,Maryland,24033,38.83658,-76.84048
Putnam,New York,36079,41.33776,-73.87451
Bartow,Georgia,13015,32.8796,-82.47417
Washtenaw,Michigan,26161,42.25336,-83.83746
New Castle,Delaware,10003,39.65977,-75.56394
Ascension,Louisiana,22005,30.2048,-90.89206
Tarrant,Texas,48439,32.77132,-97.2917
Cumberland,Maine,23005,43.80048,-70.25447
Bristol,Massachusetts,25005,41.75755,-71.07968
Ulster,New York,36111,41.85885,-73.97431
St. Tammany,Louisiana,22103,30.4256,-89.96158
Collin,Texas,48085,33.19344,-96.56754
Whatcom,Washington,53073,48.82132,-121.8597
Fort Bend,Texas,48157,29.52551,-95.74609
Bexar,Texas,48029,29.43756,-98.47227
Chester,Pennsylvania,42029,39.84868,-75.35903
Wake,North Carolina,37183,35.97509,-78.50752
Onondaga,New York,36067,43.00487,-76.1836
Pulaski,Arkansas,5119,34.75207,-92.31389
Denton,Texas,48121,33.21659,-97.13153
San Joaquin,California,6077,36.60726,-120.18832
Duval,Florida,12031,30.3453,-81.68187
Blaine,Idaho,16013,43.30446,-113.87841
Baltimore,Maryland,24005,39.29058,-76.60926
Gwinnett,Georgia,13135,33.96078,-84.04506
Skagit,Washington,53057,48.47654,-121.90889
Honolulu,Hawaii,15003,21.30493,-157.85788
Pima,Arizona,4019,32.89624,-109.82747
Chittenden,Vermont,50007,43.7099,-72.93681
Durham,North Carolina,37063,35.99542,-78.89644
Camden,New Jersey,34007,39.94526,-75.11913
Saratoga,New York,36091,43.08412,-73.78441
Oklahoma,Oklahoma,40109,35.55143,-97.40751
Berkshire,Massachusetts,25003,42.51105,-73.19426
Baltimore city,Maryland,24510,39.29058,-76.60926
Williamson,Tennessee,47187,35.87467,-86.91519
St. Louis city,Missouri,29510,38.62775,-90.19956
Spokane,Washington,53063,47.65726,-117.41228
Collier,Florida,12021,26.16004,-81.34451
Monroe,Pennsylvania,42089,41.71431,-76.47345
Will,Illinois,17197,41.46524,-87.889
Douglas,Colorado,8035,39.34832,-104.92015
Rockingham,New Hampshire,33015,43.00574,-71.06787
Washoe,Nevada,32031,40.58149,-119.65465
Barnstable,Massachusetts,25001,41.70195,-70.30446
Boulder,Colorado,8013,40.01574,-105.27924
Lee,Florida,12071,30.41976,-83.29986
Pinellas,Florida,12103,27.89195,-82.71602
Marin,California,6041,38.06823,-122.66675
Kansas City,Missouri,,0.0,0.0
Island,Washington,53029,48.17965,-122.50653
Unknown,Puerto Rico,,0.0,0.0
Kershaw,South Carolina,45055,34.55164,-80.5837
Burlington,New Jersey,34005,40.07704,-74.85782
Lehigh,Pennsylvania,42077,40.75393,-75.53802
Arlington,Virginia,51013,38.89051,-77.08629
Genesee,Michigan,26049,43.11178,-83.61755
Schenectady,New York,36093,42.81239,-73.94122
Yakima,Washington,53077,46.60448,-120.50721
Unknown,Arkansas,,0.0,0.0
Larimer,Colorado,8069,40.62802,-105.4466
Ventura,California,6111,34.28083,-119.29232
Charleston,South Carolina,45019,32.78115,-79.93161
Richland,South Carolina,45079,34.00588,-80.85008
Johnson,Kansas,20091,38.89996,-94.83197
Douglas,Nebraska,31055,40.59233,-96.38776
Unknown,Illinois,,0.0,0.0
Kane,Illinois,17089,39.18887,-90.35226
Marion,Oregon,41047,44.98445,-122.80368
Gunnison,Colorado,8051,38.54526,-106.92692
Jefferson,Kentucky,21111,38.18872,-85.65507
Northampton,Pennsylvania,42095,40.68361,-75.49108
Waukesha,Wisconsin,55133,43.01458,-88.23548
Hampden,Massachusetts,25013,42.06363,-72.41645
Bernalillo,New Mexico,35001,35.30475,-106.54903
San Bernardino,California,6071,34.10524,-117.29412
Ada,Idaho,16001,43.45982,-116.22436
San Luis Obispo,California,6079,35.28579,-120.66275
Hamilton,Ohio,39061,39.40022,-84.56315
Shelby,Alabama,1117,33.11301,-86.58361
Alachua,Florida,12001,29.79309,-82.49428
Sullivan,New York,36105,43.08746,-75.87282
Carroll,Georgia,13045,33.61697,-85.11774
Greenville,South Carolina,45045,34.84827,-82.40011
Mahoning,Ohio,39099,41.01713,-80.76046
Adams,Colorado,8001,39.86963,-104.16274
Summit,Ohio,39153,41.12885,-81.53981
Howard,Maryland,24027,39.23637,-76.89347
